"team1","team2","winner","venue"
"Delhi Capitals","Mumbai Indians","Mumbai Indians","Sheikh Zayed Stadium, Abu Dhabi"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","Sharjah Cricket Stadium, Sharjah"
"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad","Sheikh Zayed Stadium, Abu Dhabi"
"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","Sheikh Zayed Stadium, Abu Dhabi"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","Dubai International Cricket Stadium, Dubai"
"Delhi Capitals","Mumbai Indians","Mumbai Indians","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Sheikh Zayed Stadium, Abu Dhabi"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Sharjah Cricket Stadium, Sharjah"
"Delhi Capitals","Chennai Super Kings","Delhi Capitals","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","Sharjah Cricket Stadium, Sharjah"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Sheikh Zayed Stadium, Abu Dhabi"
"Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Dubai International Cricket Stadium, Dubai"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Punjab Kings","Punjab Kings","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Mumbai Indians","Royal Challengers Bengaluru","Dubai International Cricket Stadium, Dubai"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Sunrisers Hyderabad","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Mumbai Indians","Mumbai Indians","Dubai International Cricket Stadium, Dubai"
"Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","MA Chidambaram Stadium, Chennai"
"Chennai Super Kings","Delhi Capitals","Delhi Capitals","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Rajasthan Royals","Punjab Kings","Wankhede Stadium, Mumbai"
"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","MA Chidambaram Stadium, Chennai"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Rajasthan Royals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Punjab Kings","Chennai Super Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","MA Chidambaram Stadium, Chennai"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Delhi Capitals","Delhi Capitals","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Mumbai Indians","Delhi Capitals","Delhi Capitals","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","MA Chidambaram Stadium, Chennai"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Wankhede Stadium, Mumbai"
"Mumbai Indians","Punjab Kings","Punjab Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Narendra Modi Stadium, Ahmedabad"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","Narendra Modi Stadium, Ahmedabad"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Mumbai Indians","Mumbai Indians","Arun Jaitley Stadium, Delhi"
"Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","Narendra Modi Stadium, Ahmedabad"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Narendra Modi Stadium, Ahmedabad"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals","Arun Jaitley Stadium, Delhi"
"Punjab Kings","Delhi Capitals","Delhi Capitals","Narendra Modi Stadium, Ahmedabad"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","Sheikh Zayed Stadium, Abu Dhabi"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Sheikh Zayed Stadium, Abu Dhabi"
"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","Sheikh Zayed Stadium, Abu Dhabi"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","Sharjah Cricket Stadium, Sharjah"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","Sharjah Cricket Stadium, Sharjah"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Sharjah Cricket Stadium, Sharjah"
"Rajasthan Royals","Mumbai Indians","Mumbai Indians","Sharjah Cricket Stadium, Sharjah"
"Chennai Super Kings","Punjab Kings","Punjab Kings","Dubai International Cricket Stadium, Dubai"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Sunrisers Hyderabad","Sheikh Zayed Stadium, Abu Dhabi"
"Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","Sheikh Zayed Stadium, Abu Dhabi"
"Delhi Capitals","Rajasthan Royals","Delhi Capitals","Sheikh Zayed Stadium, Abu Dhabi"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","Sheikh Zayed Stadium, Abu Dhabi"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Sheikh Zayed Stadium, Abu Dhabi"
"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","Dubai International Cricket Stadium, Dubai"
"Delhi Capitals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Punjab Kings","Punjab Kings","Dubai International Cricket Stadium, Dubai"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Dubai International Cricket Stadium, Dubai"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
"Sunrisers Hyderabad","Delhi Capitals","Delhi Capitals","Dubai International Cricket Stadium, Dubai"
"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders","Sharjah Cricket Stadium, Sharjah"
"Punjab Kings","Sunrisers Hyderabad","Punjab Kings","Sharjah Cricket Stadium, Sharjah"
"Royal Challengers Bengaluru","Mumbai Indians","Royal Challengers Bengaluru","Dubai International Cricket Stadium, Dubai"
"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","Dubai International Cricket Stadium, Dubai"
"Chennai Super Kings","Delhi Capitals","Delhi Capitals","Dubai International Cricket Stadium, Dubai"
"Rajasthan Royals","Punjab Kings","Rajasthan Royals","Dubai International Cricket Stadium, Dubai"
"Mumbai Indians","Delhi Capitals","Delhi Capitals","Sharjah Cricket Stadium, Sharjah"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","Sharjah Cricket Stadium, Sharjah"
"Delhi Capitals","Chennai Super Kings","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","Sharjah Cricket Stadium, Sharjah"
"Delhi Capitals","Kolkata Knight Riders","Kolkata Knight Riders","Sharjah Cricket Stadium, Sharjah"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","Dubai International Cricket Stadium, Dubai"
"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","Wankhede Stadium, Mumbai"
"Mumbai Indians","Delhi Capitals","Delhi Capitals","Brabourne Stadium, Mumbai"
"Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","Dr DY Patil Sports Academy, Mumbai"
"Lucknow Super Giants","Gujarat Titans","Gujarat Titans","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals","Maharashtra Cricket Association Stadium, Pune"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Dr DY Patil Sports Academy, Mumbai"
"Chennai Super Kings","Lucknow Super Giants","Lucknow Super Giants","Brabourne Stadium, Mumbai"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Mumbai Indians","Rajasthan Royals","Dr DY Patil Sports Academy, Mumbai"
"Gujarat Titans","Delhi Capitals","Gujarat Titans","Maharashtra Cricket Association Stadium, Pune"
"Punjab Kings","Chennai Super Kings","Punjab Kings","Brabourne Stadium, Mumbai"
"Lucknow Super Giants","Sunrisers Hyderabad","Lucknow Super Giants","Dr DY Patil Sports Academy, Mumbai"
"Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Wankhede Stadium, Mumbai"
"Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Lucknow Super Giants","Lucknow Super Giants","Dr DY Patil Sports Academy, Mumbai"
"Punjab Kings","Gujarat Titans","Gujarat Titans","Brabourne Stadium, Mumbai"
"Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Dr DY Patil Sports Academy, Mumbai"
"Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals","Brabourne Stadium, Mumbai"
"Rajasthan Royals","Lucknow Super Giants","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Gujarat Titans","Sunrisers Hyderabad","Sunrisers Hyderabad","Dr DY Patil Sports Academy, Mumbai"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","Dr DY Patil Sports Academy, Mumbai"
"Punjab Kings","Mumbai Indians","Punjab Kings","Maharashtra Cricket Association Stadium, Pune"
"Gujarat Titans","Rajasthan Royals","Gujarat Titans","Dr DY Patil Sports Academy, Mumbai"
"Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","Brabourne Stadium, Mumbai"
"Lucknow Super Giants","Mumbai Indians","Lucknow Super Giants","Brabourne Stadium, Mumbai"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","Wankhede Stadium, Mumbai"
"Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Dr DY Patil Sports Academy, Mumbai"
"Chennai Super Kings","Gujarat Titans","Gujarat Titans","Maharashtra Cricket Association Stadium, Pune"
"Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","Brabourne Stadium, Mumbai"
"Royal Challengers Bengaluru","Lucknow Super Giants","Royal Challengers Bengaluru","Dr DY Patil Sports Academy, Mumbai"
"Punjab Kings","Delhi Capitals","Delhi Capitals","Brabourne Stadium, Mumbai"
"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Dr DY Patil Sports Academy, Mumbai"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Gujarat Titans","Kolkata Knight Riders","Gujarat Titans","Dr DY Patil Sports Academy, Mumbai"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Sunrisers Hyderabad","Brabourne Stadium, Mumbai"
"Lucknow Super Giants","Mumbai Indians","Lucknow Super Giants","Wankhede Stadium, Mumbai"
"Punjab Kings","Chennai Super Kings","Punjab Kings","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Royal Challengers Bengaluru","Rajasthan Royals","Maharashtra Cricket Association Stadium, Pune"
"Sunrisers Hyderabad","Gujarat Titans","Gujarat Titans","Wankhede Stadium, Mumbai"
"Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","Wankhede Stadium, Mumbai"
"Lucknow Super Giants","Punjab Kings","Lucknow Super Giants","Maharashtra Cricket Association Stadium, Pune"
"Royal Challengers Bengaluru","Gujarat Titans","Gujarat Titans","Brabourne Stadium, Mumbai"
"Rajasthan Royals","Mumbai Indians","Mumbai Indians","Dr DY Patil Sports Academy, Mumbai"
"Lucknow Super Giants","Delhi Capitals","Lucknow Super Giants","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings","Maharashtra Cricket Association Stadium, Pune"
"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","Wankhede Stadium, Mumbai"
"Gujarat Titans","Punjab Kings","Punjab Kings","Dr DY Patil Sports Academy, Mumbai"
"Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","Maharashtra Cricket Association Stadium, Pune"
"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","Brabourne Stadium, Mumbai"
"Mumbai Indians","Gujarat Titans","Mumbai Indians","Brabourne Stadium, Mumbai"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Lucknow Super Giants","Kolkata Knight Riders","Lucknow Super Giants","Maharashtra Cricket Association Stadium, Pune"
"Royal Challengers Bengaluru","Sunrisers Hyderabad","Royal Challengers Bengaluru","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","Dr DY Patil Sports Academy, Mumbai"
"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","Dr DY Patil Sports Academy, Mumbai"
"Gujarat Titans","Lucknow Super Giants","Gujarat Titans","Maharashtra Cricket Association Stadium, Pune"
"Rajasthan Royals","Delhi Capitals","Delhi Capitals","Dr DY Patil Sports Academy, Mumbai"
"Chennai Super Kings","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","Brabourne Stadium, Mumbai"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Maharashtra Cricket Association Stadium, Pune"
"Chennai Super Kings","Gujarat Titans","Gujarat Titans","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Lucknow Super Giants","Rajasthan Royals","Brabourne Stadium, Mumbai"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Dr DY Patil Sports Academy, Mumbai"
"Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","Wankhede Stadium, Mumbai"
"Lucknow Super Giants","Kolkata Knight Riders","Lucknow Super Giants","Dr DY Patil Sports Academy, Mumbai"
"Gujarat Titans","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","Brabourne Stadium, Mumbai"
"Delhi Capitals","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Sunrisers Hyderabad","Punjab Kings","Punjab Kings","Wankhede Stadium, Mumbai"
"Rajasthan Royals","Gujarat Titans","Gujarat Titans","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Lucknow Super Giants","Royal Challengers Bengaluru","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Rajasthan Royals","Gujarat Titans","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Chennai Super Kings","Gujarat Titans","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Punjab Kings","Kolkata Knight Riders","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Lucknow Super Giants","Delhi Capitals","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals","Rajiv Gandhi International Stadium, Hyderabad"
"Mumbai Indians","Royal Challengers Bengaluru","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Lucknow Super Giants","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Gujarat Titans","Gujarat Titans","Arun Jaitley Stadium, Delhi"
"Punjab Kings","Rajasthan Royals","Punjab Kings","Barsapara Cricket Stadium, Guwahati"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Sunrisers Hyderabad","Lucknow Super Giants","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Barsapara Cricket Stadium, Guwahati"
"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","Wankhede Stadium, Mumbai"
"Gujarat Titans","Kolkata Knight Riders","Kolkata Knight Riders","Narendra Modi Stadium, Ahmedabad"
"Punjab Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Lucknow Super Giants","Lucknow Super Giants","M Chinnaswamy Stadium, Bengaluru"
"Delhi Capitals","Mumbai Indians","Mumbai Indians","Arun Jaitley Stadium, Delhi"
"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","MA Chidambaram Stadium, Chennai"
"Punjab Kings","Gujarat Titans","Gujarat Titans","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Sunrisers Hyderabad","Kolkata Knight Riders","Sunrisers Hyderabad","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Delhi Capitals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Lucknow Super Giants","Punjab Kings","Punjab Kings","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Gujarat Titans","Rajasthan Royals","Rajasthan Royals","Narendra Modi Stadium, Ahmedabad"
"Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","M Chinnaswamy Stadium, Bengaluru"
"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians","Rajiv Gandhi International Stadium, Hyderabad"
"Lucknow Super Giants","Rajasthan Royals","Lucknow Super Giants","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Punjab Kings","Royal Challengers Bengaluru","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Sunrisers Hyderabad","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Gujarat Titans","Lucknow Super Giants","Gujarat Titans","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Punjab Kings","Mumbai Indians","Punjab Kings","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Rajasthan Royals","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","Eden Gardens, Kolkata"
"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals","Rajiv Gandhi International Stadium, Hyderabad"
"Gujarat Titans","Mumbai Indians","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Kolkata Knight Riders","Royal Challengers Bengaluru","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Lucknow Super Giants","Punjab Kings","Lucknow Super Giants","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Gujarat Titans","Gujarat Titans","Eden Gardens, Kolkata"
"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad","Arun Jaitley Stadium, Delhi"
"Chennai Super Kings","Punjab Kings","Punjab Kings","MA Chidambaram Stadium, Chennai"
"Rajasthan Royals","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Lucknow Super Giants","Royal Challengers Bengaluru","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Delhi Capitals","Gujarat Titans","Delhi Capitals","Narendra Modi Stadium, Ahmedabad"
"Punjab Kings","Mumbai Indians","Mumbai Indians","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Gujarat Titans","Gujarat Titans","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Royal Challengers Bengaluru","Delhi Capitals","Delhi Capitals","Arun Jaitley Stadium, Delhi"
"Gujarat Titans","Lucknow Super Giants","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad","Sawai Mansingh Stadium, Jaipur"
"Punjab Kings","Kolkata Knight Riders","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","Eden Gardens, Kolkata"
"Mumbai Indians","Gujarat Titans","Mumbai Indians","Wankhede Stadium, Mumbai"
"Sunrisers Hyderabad","Lucknow Super Giants","Lucknow Super Giants","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Delhi Capitals","Punjab Kings","Arun Jaitley Stadium, Delhi"
"Royal Challengers Bengaluru","Rajasthan Royals","Royal Challengers Bengaluru","Sawai Mansingh Stadium, Jaipur"
"Chennai Super Kings","Kolkata Knight Riders","Kolkata Knight Riders","MA Chidambaram Stadium, Chennai"
"Gujarat Titans","Sunrisers Hyderabad","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Lucknow Super Giants","Mumbai Indians","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Delhi Capitals","Punjab Kings","Delhi Capitals","Himachal Pradesh Cricket Association, Dharmasala"
"Sunrisers Hyderabad","Royal Challengers Bengaluru","Royal Challengers Bengaluru","Rajiv Gandhi International Stadium, Hyderabad"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Himachal Pradesh Cricket Association, Dharmasala"
"Chennai Super Kings","Delhi Capitals","Chennai Super Kings","Arun Jaitley Stadium, Delhi"
"Lucknow Super Giants","Kolkata Knight Riders","Lucknow Super Giants","Eden Gardens, Kolkata"
"Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Royal Challengers Bengaluru","Gujarat Titans","Gujarat Titans","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Gujarat Titans","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Mumbai Indians","Lucknow Super Giants","Mumbai Indians","MA Chidambaram Stadium, Chennai"
"Gujarat Titans","Mumbai Indians","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Gujarat Titans","Chennai Super Kings","Chennai Super Kings","Narendra Modi Stadium, Ahmedabad"
"Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Delhi Capitals","Punjab Kings","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Rajasthan Royals","Lucknow Super Giants","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Gujarat Titans","Mumbai Indians","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Punjab Kings","Royal Challengers Bengaluru","Royal Challengers Bengaluru","M Chinnaswamy Stadium, Bengaluru"
"Chennai Super Kings","Gujarat Titans","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Sunrisers Hyderabad","Mumbai Indians","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Rajasthan Royals","Delhi Capitals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Kolkata Knight Riders","Kolkata Knight Riders","M Chinnaswamy Stadium, Bengaluru"
"Lucknow Super Giants","Punjab Kings","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Sunrisers Hyderabad","Gujarat Titans","Gujarat Titans","Narendra Modi Stadium, Ahmedabad"
"Delhi Capitals","Chennai Super Kings","Delhi Capitals","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","Wankhede Stadium, Mumbai"
"Lucknow Super Giants","Royal Challengers Bengaluru","Lucknow Super Giants","M Chinnaswamy Stadium, Bengaluru"
"Kolkata Knight Riders","Delhi Capitals","Kolkata Knight Riders","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
"Gujarat Titans","Punjab Kings","Punjab Kings","Narendra Modi Stadium, Ahmedabad"
"Chennai Super Kings","Sunrisers Hyderabad","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Hyderabad"
"Royal Challengers Bengaluru","Rajasthan Royals","Rajasthan Royals","Sawai Mansingh Stadium, Jaipur"
"Mumbai Indians","Delhi Capitals","Mumbai Indians","Wankhede Stadium, Mumbai"
"Lucknow Super Giants","Gujarat Titans","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","MA Chidambaram Stadium, Chennai"
"Sunrisers Hyderabad","Punjab Kings","Sunrisers Hyderabad","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Rajasthan Royals","Gujarat Titans","Gujarat Titans","Sawai Mansingh Stadium, Jaipur"
"Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","Wankhede Stadium, Mumbai"
"Lucknow Super Giants","Delhi Capitals","Delhi Capitals","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Punjab Kings","Rajasthan Royals","Rajasthan Royals","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
"Lucknow Super Giants","Kolkata Knight Riders","Kolkata Knight Riders","Eden Gardens, Kolkata"
"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","Wankhede Stadium, Mumbai"
